clause;activity;extended_activity;generated_activity_active_passive;generated_activity_SRL;generated_activity_combined
The secretarial office will add the copy to the patient file; add copy ;add copy;add copy;add copy;add copy
The coordination unit adds draft dates to all calendars; add draft dates ;add draft dates;add draft dates;add draft dates;add draft dates
Draft dates are added to all calendars by the coordination unit; add draft dates ;add draft dates;add draft dates;add draft dates;add draft dates
This information is added to the assignment list; add information ;add information;add information;add information;add information
The patient is added to the list; add patient ;add patient;add patient;add patient;add patient
The post is advertised; advertise post ;advertise post;advertise post;advertise post;advertise post
The job description is advertized; advertize job description ;advertize job description;advertize job description;advertize job description;advertize job description
All independent members advise the coordination unit of any conflicts; advise Coordination Unit ;advise coordination unit of conflicts;advise coordination unit;advise coordination unit of conflicts;advise coordination unit of conflicts
The mpoo announces self dismounting to the mpon; announce self dismounting ;announce self dismounting ;announce self dismounting;announce self dismounting to mpon;announce self dismounting to mpon
The ip answers the question of the inq depending on the outcome of the examination; answer question ;answer question ;answer question;answer question of inq;answer question of inq
Applicants apply; apply ;apply ;apply;apply ;apply 
Otherwise i approve the job description; approve job description ;approve job description;approve job description;approve job description;approve job description
The department normally approves the job description; approve job description ;approve job description;approve job description;approve job description;approve job description
The job description is normally approved by the department; approve job description ;approve job description;approve job description;approve job description;approve job description
I must ask the department for further information; ask department ;ask department for further information;ask department;ask for further information;ask for further information
Under certain circumstances i must ask for corrections again; ask for corrections ;ask for corrections;ask;ask for corrections;ask for corrections
The applications are assessed by the hr manager; assess applications ;assess applications;assess applications;assess applications;assess applications
The hr manager assesses the applications; assess applications ;assess applications;assess applications;assess applications;assess applications
The company assigns himself as msp; assign as MSP ;assign himself;assign himself;assign himself;assign himself
The go assigns the mspn; assign MSPN ;assign mspn;assign mspn;assign mspn;assign mspn
At this meeting the team leader assigns all new patients on the list to members of the team; assign new patients ;assign new patients on list;assign new patients;assign new patients on list;assign new patients on list
The team leader assigns all new patients on the list to members of the team; assign new patients ;assign new patients on list;assign new patients;assign new patients on list;assign new patients on list
All new patients on the list are assigned to members of the team; assign new patients ;assign new patients on list;assign new patients;assign new patients on list;assign new patients on list
Every weekday morning the database is backed up; back up database ;back up database;back up database;back up database;back up database
Then i am available for clarifications of course; be available for clarifications ;be available for clarifications;be;be i;be i
They enter into a firm commitment; enter info firm commitment ;enter into firm commitment;enter;enter into firm commitment;enter into firm commitment
To buy the stock; buy stock  ;buy stock;buy stock;buy stock;buy stock
To call the contact person of the leads; call contact person ;call contact person of leads;call contact person;call contact person of leads;call contact person of leads
The sales assistant calls the contact person of the leads; call contact person ;call contact person of leads;call contact person;call contact person of leads;call contact person of leads
The employee calls the customer after 5 minutes; call customer ;call customer;call customer;call customer;call customer
Calling the customer; call customer ;call customer;call customer;call customer;call customer
We call the customer; call customer ;call customer;call customer;call customer;call customer
The customer is called by us; call customer ;call customer;call customer;call customer;call customer
A sales representative is calling the customer; call customer ;call customer;call customer;call customer;call customer
A sales representative calls the customer; call customer ;call customer;call customer;call customer;call customer
The customer is called by a sales representative; call customer ;call customer;call customer;call customer;call customer
The support officer then checks the dates; check dates  ;check dates;check dates;check dates;check dates
All independent committee members then check their diaries; check diaries ;check diaries;check diaries;check diaries;check diaries
The diaries of all independent members are checked; check diaries ;check diaries of independent members;check diaries;check diaries of independent members;check diaries of independent members
The notification department checks the documents upon completeness; check documents upon completeness ;check documents upon completeness;check documents;check documents;check documents
The applications are checked; check applications ;check applications;check applications;check applications;check applications
The hr department checks the applications; check applications ;check applications;check applications;check applications;check applications
The process should check the crm system; check crm system ;check crm system;check crm system;check crm system;check crm system
The dates are checked by the support officer; check dates  ;check dates;check dates;check dates;check dates
He chooses a dish from the changing meal range; choose dish ;choose dish from changing meal range;choose dish;choose dish from changing meal range;choose dish from changing meal range
The forms are checked for completeness; check forms ;check forms;check forms;check forms;check forms
The handling department checks the insurance; check insurance ;check insurance;check insurance;check insurance;check insurance
The manager checks the open leads; check open leads ;check open leads;check open leads;check open leads;check open leads
The open leads are checked by the manager; check open leads ;check open leads;check open leads;check open leads;check open leads
The order will be checked again for its quality; check order ;check order;check order;check order;check order
The ip checks the request of the inq; check request ;check request of inq;check request;check request of inq;check request of inq
The msp checks the received request; check request ;check received request;check received request;check received request;check received request
We check the request; check request ;check request;check request;check request;check request
The request is checked; check request ;check request;check request;check request;check request
The employee collects the money from the guest; collect money ;collect money;collect money;collect money;collect money
Within 5 working days the coordination unit must conduct a qa check; conduct QA check ;conduct qa check;conduct qa check;conduct qa check;conduct qa check
the checks are then sent to all committee members;  send checks to all Committee Members ;  send checks to all Committee Members ;send checks;send checks;send checks
The mpo confirms the change of the measuring point by the organisation; confirm change ;confirm change of measuring point ;confirm change;confirm change of measuring point by organisation;confirm change of measuring point by organisation
The ip confirms the changes of the inq; confirm changes ;confirm changes of inq;confirm changes;confirm changes of inq;confirm changes of inq
The mspo confirms the dismissal of the mspn; confirm dismissal ;confirm dismissal of mspn;confirm dismissal;confirm dismissal of mspn;confirm dismissal of mspn
The organization confirms the invoice with payment advice to the mpoo or the mspo; confirm invoice ;confirm invoice with payment advice;confirm invoice;confirm invoice with payment advice;confirm invoice with payment advice
The mpoo confirms the order of the mpon; confirm order ;confirm order of mpon;confirm order;confirm order of mpon;confirm order of mpon
The payment is confirmed; confirm payment ;confirm payment;confirm payment;confirm payment;confirm payment
The mpo confirms the request of the organisation; confirm request ;confirm request of organisation;confirm request;confirm request of organisation;confirm request of organisation
Contacting the customer; contact customer ;contact customer;contact customer;contact customer;contact customer
The customer is contacted by us; contact customer ;contact customer;contact customer;contact customer;contact customer
We contact the customer; contact customer ;contact customer;contact customer;contact customer;contact customer
Then i correct the description; correct description  ;correct description;correct description;correct description;correct description
The claims handler creates an action plan based on a checklist available in the document management system; create action plan ;create action plan based on checklist ;create action plan;create action plan based on checklist available in document management system;create action plan based on checklist available in document management system
I create a job description from the information; create job description ;create job description;create job description;create job description;create job description
The support officer creates meeting folders for each meeting; create meeting folders  ;create meeting folders ;create;create meeting folders for meeting;create meeting folders for meeting
A new account must be created; create new account ;create new account;create new account;create new account;create new account
A patient file is created; create patient file ;create patient file;create patient file;create patient file;create patient file
The last phase is the creation of a quotation; create quotation ;be last phase;be;be last phase;be last phase
We create a quotation; create quotation ;create quotation;create quotation;create quotation;create quotation
A quotation is created by us; create quotation ;create quotation;create quotation;create quotation;create quotation
A functional department creates a vacancy; create vacancy ;create vacancy;create vacancy;create vacancy;create vacancy
A vacancy is created by a functional department; create vacancy ;create vacancy;create vacancy;create vacancy;create vacancy
The process is triggered by the creation of a vacancy by a functional department; create vacancy ;create vacancy;trigger process;trigger process;trigger process
To decide; decide ;decide ;decide;decide ;decide 
First of all the customer must decide whether he wants an individual or family membership; decide whether individual or family membership ;decide whether individual or family membership;decide;decide whether he wants individual or family membership;decide whether he wants individual or family membership
The zooclub department can deliver the card to the visitor; deliver card ;deliver card;deliver card;deliver card;deliver card
The mspo deregisters at the company; deregister ;deregister;deregisters;;deregisters
I detect a number of personnel requirements; detect a number of personnel requirements ;detect a number of personnel requirements;detect number;detect number of personnel requirements;detect number of personnel requirements
To determine the contact details of potential customers; determine contact details of potential customers ;determine contact details of potential customers;determine contact details;determine contact details of potential customers;determine contact details of potential customers
The contact details of potential customers are determined; determine contact details of potential customers ;determine contact details of potential customers;determine contact details;determine contact details of potential customers;determine contact details of potential customers
The secretarial worker determines the nursing officer of the patient; determine nursing officer ;determine nursing officer of patient;determine nursing officer;determine nursing officer of patient;determine nursing officer of patient
First one of my masters determines the necessary parts and quantities as well as the delivery date; determine parts, quantities and delivery date ;determine necessary parts and quantities as well as delivery date;determine necessary parts;determine necessary parts and quantities as well as delivery date;determine necessary parts and quantities as well as delivery date
We determine whether the customer is interested; determine whether customer is interested ;determine whether customer is interested;determine;determine whether customer is interested;determine whether customer is interested
It is also determined whether the medical file of the patient is required; determine whether the medical file is required ;determine whether the medical file is required;be medical file;be ;be 
The mpon or the mpoo dismount the old equipment; dismount old equipment ;dismount old equipment;dismount old equipment;dismount old equipment;dismount old equipment
In november of each year the coordination unit drafts a schedule of meetings for the next calendar year; draft schedule of meetings ;draft schedule of meetings for next calendar year;draft schedule;draft schedule of meetings for next calendar year;draft schedule of meetings for next calendar year
When the coordination unit drafts a schedule of meetings for the next calendar year; draft schedule of meetings ;draft schedule of meetings;draft schedule;draft schedule of meetings;draft schedule of meetings
First the coordination unit drafts a schedule of meetings for the next calendar year; draft schedule of meetings ;draft schedule of meetings for next calendar year;draft;draft schedule of meetings for next calendar year;draft schedule of meetings for next calendar year
A schedule of meetings is drafted by the coordination unit; draft schedule of meetings ;draft schedule of meetings;draft schedule;draft schedule of meetings;draft schedule of meetings
He eats the meal; eat meal ;eat meal;eat meal;eat meal;eat meal
We enter the information into our production planning system; enter information into production planning system ;enter information;enter information;enter information;enter information
The information is entered into our production planning system; enter information into production planning system ;enter information into production planning system;enter information;enter into production planning system;enter into production planning system
The employee enters the order into the pos system; enter order in POS system ; enter order in POS system ;enter order;enter order;enter order
A guest enters the restaurant; enter restaurant ;enter restaurant;enter restaurant;enter restaurant;enter restaurant
The applications are evaluated by the hr manager; evaluate applications ;evaluate applications;evaluate applications;evaluate applications;evaluate applications
The hr manager evaluates the applications; evaluate applications ;evaluate applications;evaluate applications;evaluate applications;evaluate applications
The go examines the application of the mspn; examine application ;examine application of mspn;examine application;examine application of mspn;examine application of mspn
The go examines the bill; examine bill ;examine bill;examine bill;examine bill;examine bill
The go examines the bill; examine bill ;examine bill;examine bill;examine bill;examine bill
The user shall examine the failure; examine failure ;examine failure;examine failure;examine failure;examine failure
During the first meeting the patient is examined; examine patient ;examine patient;examine patient;examine patient;examine patient
We examine the request thoroughly; examine request ;examine request;examine request;examine request;examine request
The request is examined thoroughly; examine request ;examine request;examine request;examine request;examine request
The post is filled; fill post ;fill post;fill post;fill post;fill post
The hr department fills the post; fill post ;fill post;fill post;fill post;fill post
Someone fills the post; fill post ;fill post;fill post;fill post;fill post
When the post is filled; fill post ;fill post;fill post;fill post;fill post
Once the dates are finalized lrb by the coordination unit rrb; finalize dates ;finalize dates;finalize dates;finalize dates;finalize dates
The support officer updates all group calendars;  update all group calendars ;update group calendars;update group calendars;update group calendars;update group calendars
The user fixes the fault at the measuring device; fix fault ;fix fault;fix fault;fix fault;fix fault
Underwriters fix the issue price; fix issue price ;fix issue price;fix issue price;fix issue price;fix issue price
The zooclub department forwards the information of the visitor to the marketing department; forward information ;forward information;forward information;;forward information
We give an online presentation; give online presentation ;give online presentation;give online presentation;give online presentation;give online presentation
An online presentation is given by us; give online presentation ;give online presentation;give online presentation;give online presentation;give online presentation
The customer can go home; go home ;go home;go;go ;go 
At the end of the conversation this form is handed in at the secretarial office of the institute; hand in form ;hand in form;at form;hand in form;hand in form
The employee hands over his meal; hand over meal ;hand over meal;hand meal;hand meal;hand meal
The recording is handed to the secretarial office; hand recording ;hand recording;hand recording;hand recording;hand recording
The committee members hold their meeting; hold meeting ;hold meeting;hold meeting;hold meeting;hold meeting
The employee informs the chef of the new meal order; inform chef ;inform chef;inform chef;inform chef;inform chef
The claimant is informed; inform claimant ;inform claimant;inform claimant;inform claimant;inform claimant
The claimant is informed of the outcome; inform claimant ;inform claimant;inform claimant;inform claimant;inform claimant
The user will inform the customer about the resolution of the interference; inform customer ;inform customer;inform customer;inform customer;inform customer
We inform the customer about the outcome of the request handling process; inform customer ;inform customer;inform customer;inform customer;inform customer
The customer is informed about the outcome; inform customer ;inform customer;inform customer;inform customer;inform customer
He informs the customer and the manager; inform customer and manager ;inform customer and manager;inform customer;inform customer and manager;inform customer and manager
He then informs the employee; inform employee ;inform employee;inform employee;inform employee;inform employee
The msp informs the go about the failure of the reading; inform GO ;inform go;inform go;inform go;inform go
The mpon informs the go about the device changes the master data and the meter count at installation; inform GO ;inform go;inform go;inform go;inform go
The ec informs the inq about the change of his master data; inform INQ ;inform inq;inform inq;inform inq;inform inq
The user will inform the manager about the resolution of the interference; inform manager ;inform manager;inform manager;inform manager;inform manager
The company informs the mpo about the assignment of the company; inform MPO ;inform mpo about assignment of company;inform mpo;inform about assignment of company;inform about assignment of company
The go informs the mpo about the assignment of the mspn; inform MPO ;inform mpo;inform mpo;inform mpo;inform mpo
The company informs the mspo about the end of the assignment and the beginning of the assignment of the company; inform MSPO ;inform mspo;inform mspo;inform mspo;inform mspo
The go informs the mspo about the assignment of mspn; inform MSPO ;inform mspo;inform mspo;inform mspo;inform mspo
The secretarial office will inform the second intaker; inform second intaker ;inform second intaker;inform second intaker;inform second intaker;inform second intaker
The company informs the sp about the assignment of the company; inform SP ;inform sp;inform sp;inform sp;inform sp
The go informs the sp about the assignment of mspn; inform SP ;inform sp;inform sp;inform sp;inform sp
The mpo himself initiates a change; initiate change ;initiate change;initiate change;initiate change;initiate change
The zooclub department inputs the information of the customer into the system; input information  ;input information of customer;input information;input information of customer;input information of customer
The information is registered into our production planning system; register information into production planning system ;register information;register information;register information;register information
The secretarial worker inquires after the name and residence of the patient; inquire after name and residence ;inquire after name and residence;inquire;;inquire
We leave the customer alone; leave customer alone ;leave customer alone;leave customer;leave customer;leave customer
The customer is left alone; leave customer alone ;leave customer alone;leave customer;leave customer;leave customer
To locate and distribute any relevant existing designs both electrical and physical; locate and distribute any relevant existing designs ; locate and distribute any relevant existing designs ;locate;locate relevant existing designs both electrical and physical;locate relevant existing designs both electrical and physical
The coordination unit looks for potential conflicts; look for potential conflicts ;look for potential conflicts;look;look for potential conflicts;look for potential conflicts
The nursing officer makes a full inquiry into the mental health and social state of the patient in question; make full inquiry ;make full inquiry into mental health and social state of patient in question;make full inquiry;make full inquiry into mental health and social state of patient in question;make full inquiry into mental health and social state of patient in question
The mpon mounts the new device; mount new device ;mount new device;mount new device;mount new device;mount new device
To negotiate a settlement on the claim estimate; negotiate settlement ;negotiate settlement on claim estimate;negotiate settlement;negotiate settlement on claim estimate;negotiate settlement on claim estimate
The mpoo shall notify the mpon about no self dismounting of the mpoo; notify about no self dismounting ;notify mpon about self dismounting of mpoo;notify mpon;notify mpon about self dismounting of mpoo;notify mpon about self dismounting of mpoo
The inq notifies the ip of the change; notify IP ; notify IP ;notify ip;;notify ip
The mpon notifies the mpoo about equipment change intentions; notify MPOO about equipment change intentions; notify MPOO about equipment change intentions;notify mpoo;;notify mpoo
The go shall notify the msp about the device changes the master data the meter count at dismounting and the meter count at installation; notify MSP ;notify msp;notify msp;notify msp;notify msp
The mpo notifies the organisation about the failure of the changes; notify organisation ;notify organisation;notify organisation;notify organisation;notify organisation
They offer the service to the public; offer service ;offer service;offer service;offer service;offer service
The employee passes the buzzer on to the guest; pass buzzer ;pass on buzzer;pass on buzzer;pass on buzzer;pass on buzzer
An assessment is performed; perform assessment ;perform assessment;perform assessment;perform assessment;perform assessment
Performing a detailed online presentation; perform detailed online presentation ;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation
We perform a detailed online presentation; perform detailed online presentation ;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation;perform detailed online presentation
The mpon or the mpoo perform the final reading; perform final reading ;perform final reading;perform final reading;perform final reading;perform final reading
The msp performs the measurement; perform measurement ;perform measurement;perform measurement;perform measurement;perform measurement
The mpo performs the measuring point change; perform measuring point change ;perform measuring point change;perform measuring point change;perform measuring point change;perform measuring point change
next a garage is phoned; phone garage ;phone garage;phone garage;phone garage;phone garage
The handling department picks up the claim; pick up claim ;pick up claim;pick up claim;pick up claim;pick up claim
then the customer can pick up his meal; pick up meal ;pick up meal;pick up meal;pick up meal;pick up meal
next the chef places the meal in the service hatch; place meal in service hatch ; place meal in service hatch ;place meal;place meal;place meal
He places his order with the employee; place order ;place order;place order;place order;place order
The mpon places an order at the mpoo; place order ;place order;place order;place order;place order
When assembler ag places an order with the supplier; place order ;place order with supplier;place order;place order with supplier;place order with supplier
subsequently an order is placed with the supplier; place order ;place order;place order;place order;place order
The assembler places an order with the supplier; place order ;place order;place order;place order;place order
The first intaker plans a meeting with the patient as soon; plan meeting ;plan meeting with patient;plan meeting;plan meeting with patient;plan meeting with patient
I post the job; post job ;post job;post job;post job;post job
The job is posted by me; post job ;post job;post job;post job;post job
For each patient the secretarial office prepares a letter; prepare letter ;prepare letter;prepare letter;prepare letter;prepare letter
The chef prepares the meal; prepare meal ;prepare meal;prepare meal;prepare meal;prepare meal
He must prepare his personal information; prepare personal information ;prepare personal information;prepare personal information;prepare personal information;prepare personal information
They prepare a registration statement for the approval of the securities and exchange commission; prepare registration statement for approval of Securities and Exchange Commission  ;prepare registration statement for approval of securities and exchange commission;prepare registration statement;prepare registration statement for approval of securities and exchange commission;prepare registration statement for approval of securities and exchange commission
The zooclub department can print the card ; print card ;print card;print card;print card;print card
the department can deliver the card to the visitor; deliver card ;deliver card;deliver card;deliver card;deliver card
The zooclub department can print the card; print card ;print card;print card;print card;print card
The secretarial worker prints the information on a paper; print information ;print information;print information;print information;print information
The information is printed on a paper; print information ;print information;print information;print information;print information
The manager then processes the lead; process lead ;process lead;process lead;process lead;process lead
The manager processes the lead; process lead ;process lead;process lead;process lead;process lead
The lead is processed by the manager; process lead ;process lead;process lead;process lead;process lead
The go processes the measured values; process measured values ;process measured values;process measured values;process measured values;process measured values
The supplier processes the order; process order ;process order;process order;process order;process order
The order is processed by the supplier; process order ;process order;process order;process order;process order
Another table of defaulting accounts are produced; produce another table of defaulting accounts ;produce table of defaulting accounts;produce table;produce table of defaulting accounts;produce table of defaulting accounts
The support office then produces minutes including any action points for each committee member; produce minutes ;produce minutes including action points ;produce minutes;produce minutes including action points for committee member;produce minutes including action points for committee member
At the secretarial office two registration cards are produced; produce two registration cards ;produce two registration cards;produce two registration cards;produce two registration cards;produce two registration cards
The job is published by me; publish job ;publish job;publish job;publish job;publish job
I publish the job; publish job ;publish job;publish job;publish job;publish job
The hr department advertises the post; advertise post ;advertise post;advertise post;advertise post;advertise post
The post is published by the hr department; publish post ;publish post;publish post;publish post;publish post
The hr department publishes the post; publish post ;publish post;publish post;publish post;publish post
After a visit the first intaker puts a copy of these notes in the file of a patient; put copy in file ;put copy of notes in file;put copy;put copy of notes;put copy of notes
